Barangay_key,train_weeks,nonzero_weeks,total_cases,eligible_local,eligibility_reason,run_id
acacia,446,39,45.0,False,too_few_total_cases,c6a47786-9027-4f31-8377-daff13e9f05d
agdao,446,233,366.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
alambre,446,34,49.0,False,too_few_total_cases,c6a47786-9027-4f31-8377-daff13e9f05d
alejandra navarro,446,106,169.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
alfonso angliongto sr,446,231,539.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
angalan,446,58,68.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
atan awe,446,26,28.0,False,too_few_total_cases,c6a47786-9027-4f31-8377-daff13e9f05d
baganihan,446,16,19.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c6a47786-9027-4f31-8377-daff13e9f05d
bago aplaya,446,249,428.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
bago gallera,446,258,553.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
bago oshiro,446,87,123.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
baguio,446,139,254.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
balengaeng,446,19,22.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c6a47786-9027-4f31-8377-daff13e9f05d
baliok,446,226,471.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
bangkas heights,446,119,169.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
bantol,446,26,30.0,False,too_few_total_cases,c6a47786-9027-4f31-8377-daff13e9f05d
baracatan,446,54,67.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 1 a,446,71,82.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 10 a,446,108,151.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 11 b,446,53,65.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 12 b,446,33,39.0,False,too_few_total_cases,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 13 b,446,9,9.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 14 b,446,41,43.0,False,too_few_total_cases,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 15 b,446,77,96.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 16 b,446,50,55.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 17 b,446,26,30.0,False,too_few_total_cases,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 18 b,446,83,102.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 19 b,446,332,902.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 2 a,446,95,112.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 20 b,446,62,79.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 21 c,446,133,184.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 22 c,446,126,160.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 23 c,446,163,230.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 24 c,446,53,68.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 25 c,446,24,28.0,False,too_few_total_cases,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 26 c,446,53,62.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 27 c,446,80,91.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 28 c,446,50,57.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 29 c,446,20,21.0,False,too_few_total_cases,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 3 a,446,17,19.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 30 c,446,25,26.0,False,too_few_total_cases,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 31 d,446,158,233.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 32 d,446,61,71.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 33 d,446,52,63.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 34 d,446,31,33.0,False,too_few_total_cases,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 35 d,446,17,17.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 36 d,446,29,33.0,False,too_few_total_cases,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 37 d,446,123,161.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 38 d,446,46,52.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 39 d,446,65,73.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 4 a,446,38,47.0,False,too_few_total_cases,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 40 d,446,48,60.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 5 a,446,203,329.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 6 a,446,37,48.0,False,too_few_total_cases,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 7 a,446,97,131.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 8 a,446,159,244.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
barangay 9 a,446,139,203.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
bato,446,142,217.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
bayabas,446,44,57.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
biao escuela,446,46,57.0,True,ok,c6a47786-9027-4f31-8377-daff13e9f05d
